Site,month,year,mean
Wells,Jun,1995,2.873523273
Wells,Jul,1995,11.74114823
Wells,Aug,1995,11.12163978
Wells,Sep,1995,15.60737573
Wells,Oct,1995,3.663530983
Wells,Nov,1995,0.025725473
Wells,Dec,1995,0
Wells,Jan,1996,NA
Wells,Feb,1996,NA
Wells,Mar,1996,NA
Wells,Apr,1996,0
Wells,May,1996,0.053341014
Wells,Jun,1996,1.250846631
Wells,Jul,1996,3.232186571
Wells,Aug,1996,10.42945703
Wells,Sep,1996,14.19033951
Wells,Oct,1996,2.865549242
Wells,Nov,1996,0.177657828
Wells,Dec,1996,0.00625
Wells,Jan,1997,NA
Wells,Feb,1997,NA
Wells,Mar,1997,0
Wells,Apr,1997,0
Wells,May,1997,0.060147849
Wells,Jun,1997,5.300650118
Wells,Jul,1997,6.562138095
Wells,Aug,1997,7.354704301
Wells,Sep,1997,6.392127301
Wells,Oct,1997,4.958529742
Wells,Nov,1997,0.564652778
Wells,Dec,1997,0.567763158
Wells,Jan,1998,NA
Wells,Feb,1998,NA
Wells,Mar,1998,NA
Wells,Apr,1998,0.073541667
Wells,May,1998,1.354513889
Wells,Jun,1998,0.0625
Wells,Jul,1998,1.32452957
Wells,Aug,1998,3.658629318
Wells,Sep,1998,9.797544643
Wells,Oct,1998,3.049587174
Wells,Nov,1998,1.711388889
Wells,Dec,1998,0.763979469
Wells,Jan,1999,NA
Wells,Feb,1999,NA
Wells,Mar,1999,0
Wells,Apr,1999,0.670277778
Wells,May,1999,0.752352151
Wells,Jun,1999,4.016535714
Wells,Jul,1999,2.955208333
Wells,Aug,1999,8.748260417
Wells,Sep,1999,NA
Wells,Oct,1999,NA
Wells,Nov,1999,0.36182762
Wells,Dec,1999,0.311491935
Wells,Jan,2000,NA
Wells,Feb,2000,NA
Wells,Mar,2000,NA
Wells,Apr,2000,0.132407407
Wells,May,2000,0.235147849
Wells,Jun,2000,2.006953704
Wells,Jul,2000,8.654652272
Wells,Aug,2000,3.552016129
Wells,Sep,2000,6.523707393
Wells,Oct,2000,NA
Wells,Nov,2000,0
Wells,Dec,2000,0
Wells,Jan,2001,NA
Wells,Feb,2001,NA
Wells,Mar,2001,0.010227273
Wells,Apr,2001,0
Wells,May,2001,0.604771505
Wells,Jun,2001,0.274351852
Wells,Jul,2001,4.910887097
Wells,Aug,2001,13.78730824
Wells,Sep,2001,12.04791984
Wells,Oct,2001,7.370295699
Wells,Nov,2001,2.500555556
Wells,Dec,2001,0.49837963
Wells,Jan,2002,NA
Wells,Feb,2002,NA
Wells,Mar,2002,0.081770833
Wells,Apr,2002,0.133611111
Wells,May,2002,0.316666667
Wells,Jun,2002,0.184285714
Wells,Jul,2002,2.163660005
Wells,Aug,2002,4.481689883
Wells,Sep,2002,4.69475463
Wells,Oct,2002,2.730616359
Wells,Nov,2002,0.703402778
Wells,Dec,2002,1.196296296
Wells,Jan,2003,NA
Wells,Feb,2003,NA
Wells,Mar,2003,0.125446429
Wells,Apr,2003,0.157430556
Wells,May,2003,0.270698925
Wells,Jun,2003,0.526666667
Wells,Jul,2003,2.559072581
Wells,Aug,2003,1.371937404
Wells,Sep,2003,1.619742063
Wells,Oct,2003,0.384072581
Wells,Nov,2003,0.559166667
Wells,Dec,2003,0.459244792
Wells,Jan,2004,NA
Wells,Feb,2004,NA
Wells,Mar,2004,NA
Wells,Apr,2004,NA
Wells,May,2004,0.133094837
Wells,Jun,2004,0.851388889
Wells,Jul,2004,5.690692491
Wells,Aug,2004,6.238526653
Wells,Sep,2004,0.861202107
Wells,Oct,2004,1.094787933
Wells,Nov,2004,0.549236111
Wells,Dec,2004,0.117261905
Wells,Jan,2005,NA
Wells,Feb,2005,NA
Wells,Mar,2005,0.070416667
Wells,Apr,2005,0.061805556
Wells,May,2005,0.075537634
Wells,Jun,2005,0.540902778
Wells,Jul,2005,1.935483871
Wells,Aug,2005,3.714583333
Wells,Sep,2005,3.357569444
Wells,Oct,2005,0.339180108
Wells,Nov,2005,0.132916667
Wells,Dec,2005,0.092083333
Wells,Jan,2006,NA
Wells,Feb,2006,NA
Wells,Mar,2006,NA
Wells,Apr,2006,0.250221631
Wells,May,2006,0.131635802
Wells,Jun,2006,0.100902778
Wells,Jul,2006,0.721979167
Wells,Aug,2006,6.406586022
Wells,Sep,2006,5.122986111
Wells,Oct,2006,1.711251716
Wells,Nov,2006,0.167928487
Wells,Dec,2006,0.193346774
Wells,Jan,2007,0.104749504
Wells,Feb,2007,NA
Wells,Mar,2007,0.008333333
Wells,Apr,2007,0.024444444
Wells,May,2007,0.124987781
Wells,Jun,2007,1.6678125
Wells,Jul,2007,2.816633065
Wells,Aug,2007,6.245866935
Wells,Sep,2007,9.715625
Wells,Oct,2007,5.401579301
Wells,Nov,2007,0.450104167
Wells,Dec,2007,0.1
Wells,Jan,2008,NA
Wells,Feb,2008,NA
Wells,Mar,2008,NA
Wells,Apr,2008,0.053385417
Wells,May,2008,0.896092663
Wells,Jun,2008,4.378541667
Wells,Jul,2008,8.677822581
Wells,Aug,2008,3.576915323
Wells,Sep,2008,3.277743056
Wells,Oct,2008,0.536122312
Wells,Nov,2008,0.295034722
Wells,Dec,2008,0.090379902
Wells,Jan,2009,NA
Wells,Feb,2009,NA
Wells,Mar,2009,0.063815789
Wells,Apr,2009,0.074287281
Wells,May,2009,1.361155914
Wells,Jun,2009,0.742847222
Wells,Jul,2009,0.463205645
Wells,Aug,2009,2.673420699
Wells,Sep,2009,5.085486111
Wells,Oct,2009,0.879301075
Wells,Nov,2009,0.534479167
Wells,Dec,2009,0.0390625
Wells,Jan,2010,NA
Wells,Feb,2010,NA
Wells,Mar,2010,0.03609375
Wells,Apr,2010,0.586666667
Wells,May,2010,2.505913978
Wells,Jun,2010,4.75485916
Wells,Jul,2010,5.191196237
Wells,Aug,2010,11.76833687
Wells,Sep,2010,13.09996528
Wells,Oct,2010,3.696001344
Wells,Nov,2010,0.687118056
Wells,Dec,2010,0.830013021
Wells,Jan,2011,NA
Wells,Feb,2011,NA
Wells,Mar,2011,0.08504902
Wells,Apr,2011,0.155
Wells,May,2011,0.370564516
Wells,Jun,2011,2.994822137
Wells,Jul,2011,7.886035745
Wells,Aug,2011,7.414757003
Wells,Sep,2011,4.480902778
Wells,Oct,2011,0.524348118
Wells,Nov,2011,0.322326389
Wells,Dec,2011,0.144766065
Wells,Jan,2012,NA
Wells,Feb,2012,NA
Wells,Mar,2012,0.107017544
Wells,Apr,2012,3.376215278
Wells,May,2012,0.463407258
Wells,Jun,2012,0.802152778
Wells,Jul,2012,14.50379704
Wells,Aug,2012,11.3375672
Wells,Sep,2012,12.34413194
Wells,Oct,2012,4.690994624
Wells,Nov,2012,3.933611111
Wells,Dec,2012,2.700504032
Wells,Jan,2013,NA
Wells,Feb,2013,NA
Wells,Mar,2013,NA
Wells,Apr,2013,2.283854167
Wells,May,2013,0.825772849
Wells,Jun,2013,1.535625
Wells,Jul,2013,5.010247595
Wells,Aug,2013,10.62587366
Wells,Sep,2013,3.350347222
Wells,Oct,2013,9.459946237
Wells,Nov,2013,9.218263889
Wells,Dec,2013,1.687026515
Wells,Jan,2014,NA
Wells,Feb,2014,NA
Wells,Mar,2014,NA
Wells,Apr,2014,0.774729938
Wells,May,2014,1.167439516
Wells,Jun,2014,4.499375
Wells,Jul,2014,6.125806452
Wells,Aug,2014,4.265423387
Wells,Sep,2014,11.641875
Wells,Oct,2014,9.341876439
Wells,Nov,2014,0.992430556
Wells,Dec,2014,0.109252451
Wells,Jan,2015,NA
Wells,Feb,2015,NA
Wells,Mar,2015,NA
Wells,Apr,2015,0.185606061
Wells,May,2015,2.862903226
Wells,Jun,2015,4.055381944
Wells,Jul,2015,8.600100806
Wells,Aug,2015,13.3281586
Wells,Sep,2015,14.91795139
Wells,Oct,2015,5.06031586
Wells,Nov,2015,0.5946875
Wells,Dec,2015,0.474943761
Wells,Jan,2016,NA
Wells,Feb,2016,NA
Wells,Mar,2016,0.1
Wells,Apr,2016,0.606736111
Wells,May,2016,2.070497312
Wells,Jun,2016,6.923345143
Wells,Jul,2016,13.0563172
Wells,Aug,2016,17.67586327
Wells,Sep,2016,18.32528495
Wells,Oct,2016,6.106787634
Wells,Nov,2016,0.678333333
Wells,Dec,2016,0.1
Wells,Jan,2017,NA
Wells,Feb,2017,NA
Wells,Mar,2017,NA
Wells,Apr,2017,0.109490741
Wells,May,2017,0.542439516
Wells,Jun,2017,2.613402778
Wells,Jul,2017,7.559139785
Wells,Aug,2017,11.79112903
Wells,Sep,2017,9.388229167
Wells,Oct,2017,9.382123656
Wells,Nov,2017,2.155034722
Wells,Dec,2017,3.590069217
Wells,Jan,2018,NA
Wells,Feb,2018,NA
Wells,Mar,2018,NA
Wells,Apr,2018,0.17609375
Wells,May,2018,1.647782258
Wells,Jun,2018,5.109583333
Wells,Jul,2018,7.926686239
Wells,Aug,2018,3.559013536
Wells,Sep,2018,3.521701389
Wells,Oct,2018,0.973622312
Wells,Nov,2018,0.241805556
Wells,Dec,2018,0.035977564
Wells,Jan,2019,NA
Wells,Feb,2019,NA
Wells,Mar,2019,NA
Wells,Apr,2019,0.303017241
Wells,May,2019,0.534375
Wells,Jun,2019,0.59216821
Wells,Jul,2019,2.785546875
Wells,Aug,2019,4.078461022
Wells,Sep,2019,9.749618056
Wells,Oct,2019,5.638541667
Wells,Nov,2019,0.250154321
Wells,Dec,2019,NA
Wells,Jan,2020,NA
Wells,Feb,2020,NA
Wells,Mar,2020,NA
Wells,Apr,2020,0.1
Wells,May,2020,1.175403226
Wells,Jun,2020,5.927638889
Wells,Jul,2020,10.00430108
Wells,Aug,2020,13.53407258
Wells,Sep,2020,19.98915789
Wells,Oct,2020,6.251491228
Wells,Nov,2020,2.307920322
Wells,Dec,2020,0.1
Wells,Jan,2021,NA
Wells,Feb,2021,NA
Wells,Mar,2021,NA
Wells,Apr,2021,1.40219697
Wells,May,2021,1.802150538
Wells,Jun,2021,8.613715278
Wells,Jul,2021,1.216733871
Wells,Aug,2021,1.801276882
Wells,Sep,2021,1.249097222
Wells,Oct,2021,3.62718414
Wells,Nov,2021,0.169756944
Wells,Dec,2021,0.882107843
Narragansett,Dec,1995,30.70664063
Narragansett,Jan,1996,27.08070101
Narragansett,Feb,1996,27.69970281
Narragansett,Mar,1996,27.40440705
Narragansett,Apr,1996,27.31410362
Narragansett,May,1996,26.11010878
Narragansett,Jun,1996,28.2101766
Narragansett,Jul,1996,28.66471774
Narragansett,Aug,1996,28.84290233
Narragansett,Sep,1996,28.66342105
Narragansett,Oct,1996,27.4469086
Narragansett,Nov,1996,26.6539221
Narragansett,Dec,1996,25.23581989
Narragansett,Jan,1997,26.50517758
Narragansett,Feb,1997,26.76949405
Narragansett,Mar,1997,27.01229839
Narragansett,Apr,1997,26.16916365
Narragansett,May,1997,25.49608213
Narragansett,Jun,1997,27.28583333
Narragansett,Jul,1997,29.2101121
Narragansett,Aug,1997,29.69411029
Narragansett,Sep,1997,29.98175
Narragansett,Oct,1997,31.09106183
Narragansett,Nov,1997,29.38243056
Narragansett,Dec,1997,29.27977151
Narragansett,Jan,1998,28.60067204
Narragansett,Feb,1998,28.69810785
Narragansett,Mar,1998,25.79361559
Narragansett,Apr,1998,26.7057035
Narragansett,May,1998,26.1179321
Narragansett,Jun,1998,25.33575471
Narragansett,Jul,1998,24.95089703
Narragansett,Aug,1998,28.05582265
Narragansett,Sep,1998,29.01840537
Narragansett,Oct,1998,29.1169698
Narragansett,Nov,1998,28.89918478
Narragansett,Dec,1998,28.71256944
Narragansett,Jan,1999,27.18413978
Narragansett,Feb,1999,26.60342262
Narragansett,Mar,1999,27.09818548
Narragansett,Apr,1999,28.18180556
Narragansett,May,1999,28.78668186
Narragansett,Jun,1999,28.57271199
Narragansett,Jul,1999,30.05512506
Narragansett,Aug,1999,30.36946003
Narragansett,Sep,1999,29.45875
Narragansett,Oct,1999,28.86458333
Narragansett,Nov,1999,29.18513889
Narragansett,Dec,1999,29.7780914
Narragansett,Jan,2000,29.64318182
Narragansett,Feb,2000,29.20353954
Narragansett,Mar,2000,28.40913978
Narragansett,Apr,2000,27.47204167
Narragansett,May,2000,27.36939466
Narragansett,Jun,2000,28.2628861
Narragansett,Jul,2000,29.42407375
Narragansett,Aug,2000,29.66211536
Narragansett,Sep,2000,29.98921388
Narragansett,Oct,2000,30.58501588
Narragansett,Nov,2000,29.68492284
Narragansett,Dec,2000,28.72098765
Narragansett,Jan,2001,28.48675074
Narragansett,Feb,2001,28.44940476
Narragansett,Mar,2001,27.02150538
Narragansett,Apr,2001,25.33657684
Narragansett,May,2001,28.73803763
Narragansett,Jun,2001,27.66152778
Narragansett,Jul,2001,28.55
Narragansett,Aug,2001,29.81895161
Narragansett,Sep,2001,30.07863672
Narragansett,Oct,2001,30.34812686
Narragansett,Nov,2001,30.71520833
Narragansett,Dec,2001,30.67625
Narragansett,Jan,2002,29.79020364
Narragansett,Feb,2002,30.00311928
Narragansett,Mar,2002,29.81263441
Narragansett,Apr,2002,28.65173611
Narragansett,May,2002,28.23860387
Narragansett,Jun,2002,28.65319444
Narragansett,Jul,2002,30.33664636
Narragansett,Aug,2002,31.12532029
Narragansett,Sep,2002,30.83222222
Narragansett,Oct,2002,30.49052419
Narragansett,Nov,2002,29.73310185
Narragansett,Dec,2002,28.12091837
Narragansett,Jan,2003,29.30146563
Narragansett,Feb,2003,30.00015398
Narragansett,Mar,2003,27.66139593
Narragansett,Apr,2003,27.59734549
Narragansett,May,2003,28.07392473
Narragansett,Jun,2003,27.14937648
Narragansett,Jul,2003,27.17603533
Narragansett,Aug,2003,27.79502688
Narragansett,Sep,2003,29.36534722
Narragansett,Oct,2003,29.84826699
Narragansett,Nov,2003,28.63493056
Narragansett,Dec,2003,27.92296118
Narragansett,Jan,2004,28.77432796
Narragansett,Feb,2004,29.5450463
Narragansett,Mar,2004,29.97284946
Narragansett,Apr,2004,27.00652778
Narragansett,May,2004,27.09379359
Narragansett,Jun,2004,29.38135757
Narragansett,Jul,2004,30.10598118
Narragansett,Aug,2004,30.00572828
Narragansett,Sep,2004,29.62903947
Narragansett,Oct,2004,29.20148628
Narragansett,Nov,2004,29.45797312
Narragansett,Dec,2004,27.90718758
Narragansett,Jan,2005,27.51420699
Narragansett,Feb,2005,27.83329613
Narragansett,Mar,2005,27.47261425
Narragansett,Apr,2005,25.05438231
Narragansett,May,2005,26.84413731
Narragansett,Jun,2005,28.08142361
Narragansett,Jul,2005,28.89052419
Narragansett,Aug,2005,29.3466412
Narragansett,Sep,2005,29.17899927
Narragansett,Oct,2005,26.92120296
Narragansett,Nov,2005,27.37996528
Narragansett,Dec,2005,26.45617883
Narragansett,Jan,2006,25.73676904
Narragansett,Feb,2006,25.81042019
Narragansett,Mar,2006,28.51354167
Narragansett,Apr,2006,29.25798611
Narragansett,May,2006,27.99032258
Narragansett,Jun,2006,25.09920139
Narragansett,Jul,2006,22.19060722
Narragansett,Aug,2006,28.3934015
Narragansett,Sep,2006,29.94617836
Narragansett,Oct,2006,29.59193548
Narragansett,Nov,2006,27.51319444
Narragansett,Dec,2006,27.31784345
Narragansett,Jan,2007,27.99573253
Narragansett,Feb,2007,29.06903234
Narragansett,Mar,2007,27.54758065
Narragansett,Apr,2007,25.94056579
Narragansett,May,2007,26.83178763
Narragansett,Jun,2007,28.68909722
Narragansett,Jul,2007,29.82563844
Narragansett,Aug,2007,29.55114247
Narragansett,Sep,2007,29.78634868
Narragansett,Oct,2007,29.70762769
Narragansett,Nov,2007,29.23753082
Narragansett,Dec,2007,27.59250194
Narragansett,Jan,2008,27.15447643
Narragansett,Feb,2008,24.19173396
Narragansett,Mar,2008,25.66756473
